,MovieTitle,OnlinePosterLink,LocalPosterPath
23,Ninja Assassin,"http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/23.jpg
24,Powder,http://ia.media-imdb.com/images/M/MV5BMTIwMTQ3MjY2M15BMl5BanBnXkFtZTcwMTQ0NDUyMQ@@._V1._SX99_SY140_.jpg,../Resources/Data/Raw/MoviePosters/24.jpg
25,Leaving Las Vegas,"http://ia.media-imdb.com/images/M/MV5BMTIzOTEzMzQwNF5BMl5BanBnXkFtZTcwNjE0MTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/25.jpg
26,Othello,"http://ia.media-imdb.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1._SY314_CR5,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/26.jpg
27,Now and Then,"http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/27.jpg
28,Persuasion,"http://ia.media-imdb.com/images/M/MV5BNTQ2NDkxNzUwNF5BMl5BanBnXkFtZTcwMzE4NTcyMQ@@._V1._SY314_CR14,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/28.jpg
29,La cité des enfants perdus,"http://ia.media-imdb.com/images/M/MV5BMTI4MDc0ODgyMV5BMl5BanBnXkFtZTcwNjAzMzAyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/29.jpg
30,Yao a yao yao dao waipo qiao,"http://ia.media-imdb.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/30.jpg
31,Dangerous Minds,"http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/31.jpg
32,Twelve Monkeys,"http://ia.media-imdb.com/images/M/MV5BMTQwNzg2OTUzMV5BMl5BanBnXkFtZTYwMTg4ODU5._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/32.jpg
33,Wings of Courage,"http://ia.media-imdb.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/33.jpg
34,Babe,"http://ia.media-imdb.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1._SY314_CR6,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/34.jpg
35,Carrington,"http://ia.media-imdb.com/images/M/MV5BMTI5NjcxMjc4MV5BMl5BanBnXkFtZTcwOTEzMDYxMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/35.jpg
36,Dead Man Walking,"http://ia.media-imdb.com/images/M/MV5BOTUxMDg5NTAzMF5BMl5BanBnXkFtZTcwNTYyOTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/36.jpg
37,Across the Sea of Time,http://ia.media-imdb.com/images/M/MV5BNTQyMTE3MzY4Nl5BMl5BanBnXkFtZTcwMzY5MTAyMQ@@._V1._SX78_SY140_.jpg,../Resources/Data/Raw/MoviePosters/37.jpg
38,It Takes Two,"http://ia.media-imdb.com/images/M/MV5BMTcyMjY3NzkwMV5BMl5BanBnXkFtZTcwNzE1NjUyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/38.jpg
39,Clueless,"http://ia.media-imdb.com/images/M/MV5BNjQxNTA1NjE5Ml5BMl5BanBnXkFtZTYwOTMwNzE5._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/39.jpg
40,"Cry, the Beloved Country","http://ia.media-imdb.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/40.jpg
41,Richard III,"http://ia.media-imdb.com/images/M/MV5BMjEzMjAxOTQzMV5BMl5BanBnXkFtZTcwMTYyNjIyMQ@@._V1._SY314_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/41.jpg
42,Dead Presidents,"http://ia.media-imdb.com/images/M/MV5BMzE0NTI0MTM5MV5BMl5BanBnXkFtZTcwMzYwMTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/42.jpg
43,Restoration,"http://ia.media-imdb.com/images/M/MV5BMTI5MDM4OTQ0Ml5BMl5BanBnXkFtZTcwMzU2MTYyMQ@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/43.jpg
44,Mortal Kombat,"http://ia.media-imdb.com/images/M/MV5BMTI3MzM0ODE4Nl5BMl5BanBnXkFtZTcwMDA3MTgyMQ@@._V1._SY314_CR18,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/44.jpg
45,Live Free or Die Hard,"http://ia.media-imdb.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/45.jpg
46,How to Make an American Quilt,"http://ia.media-imdb.com/images/M/MV5BNzY3NTQ0NTM0NV5BMl5BanBnXkFtZTcwODkwMzgxMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/46.jpg
47,Shichinin no samurai,"http://ia.media-imdb.com/images/M/MV5BNzg5Mzk5Nzc0NF5BMl5BanBnXkFtZTcwNjg3MDQzMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/47.jpg
48,Pocahontas,"http://ia.media-imdb.com/images/M/MV5BMTM5NDI5MzAwOV5BMl5BanBnXkFtZTcwODcwMjgyMQ@@._V1._SY314_CR5,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/48.jpg
49,When Night Is Falling,"http://ia.media-imdb.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/49.jpg
50,The Usual Suspects,"http://ia.media-imdb.com/images/M/MV5BMTg0NzIyMTA3M15BMl5BanBnXkFtZTcwMDQ3MjI3Mw@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/50.jpg
52,Mighty Aphrodite,"http://ia.media-imdb.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/52.jpg
53,Lamerica,"http://ia.media-imdb.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/53.jpg
54,The Big Green,"http://ia.media-imdb.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1._SY314_CR5,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/54.jpg
55,Georgia Rule,"http://ia.media-imdb.com/images/M/MV5BMTM2MDc3MTI0Nl5BMl5BanBnXkFtZTcwMzQ4ODU0MQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/55.jpg
56,Kids of the Round Table,"http://ia.media-imdb.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/56.jpg
57,Home for the Holidays,"http://ia.media-imdb.com/images/M/MV5BMjExMTMyNzU4MV5BMl5BanBnXkFtZTcwMzIwMDkxMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/57.jpg
58,Il postino,"http://ia.media-imdb.com/images/M/MV5BMTkxNTc5NjE0NV5BMl5BanBnXkFtZTcwMTI2MTYyMQ@@._V1._SY301_CR1,0,214,301_.jpg",../Resources/Data/Raw/MoviePosters/58.jpg
59,Le confessionnal,"http://ia.media-imdb.com/images/M/MV5BMTk2MDE1MTYyNl5BMl5BanBnXkFtZTcwMzc3NDEzMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/59.jpg
60,The Indian in the Cupboard,"http://ia.media-imdb.com/images/M/MV5BMTk0NjQ5NzQxMl5BMl5BanBnXkFtZTcwMDc5NjUyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/60.jpg
61,Eye for an Eye,"http://ia.media-imdb.com/images/M/MV5BMTUwMzc5NTk0NF5BMl5BanBnXkFtZTYwOTYyMzU5._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/61.jpg
62,Mr. Holland's Opus,"http://ia.media-imdb.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/62.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"http://ia.media-imdb.com/images/M/MV5BMTA3NjQ1Mzg4NTReQTJeQWpwZ15BbWU3MDcwNTQwMzE@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/63.jpg
64,Two If by Sea,"http://ia.media-imdb.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/64.jpg
65,Bio-Dome,"http://ia.media-imdb.com/images/M/MV5BMTc4NDg0ODQ4Ml5BMl5BanBnXkFtZTcwNDM4MDUyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/65.jpg
66,Lawnmower Man 2: Beyond Cyberspace,"http://ia.media-imdb.com/images/M/MV5BMTg1MjM3OTEyNF5BMl5BanBnXkFtZTcwOTQ5MDEyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/66.jpg
67,Two Bits,"http://ia.media-imdb.com/images/M/MV5BMTY4NjA1Mzc2N15BMl5BanBnXkFtZTcwODI2NjYxMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/67.jpg
68,Gazon maudit,"http://ia.media-imdb.com/images/M/MV5BMTU5NjI5NDQ2MV5BMl5BanBnXkFtZTcwMDkzMzcxMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/68.jpg
69,Friday,"http://ia.media-imdb.com/images/M/MV5BMTkxNjA2MjE0Nl5BMl5BanBnXkFtZTcwMjM3NzYzMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/69.jpg
70,From Dusk Till Dawn,"http://ia.media-imdb.com/images/M/MV5BMTI0NzM0MzE4MV5BMl5BanBnXkFtZTcwNjgwODg0MQ@@._V1._SY314_CR3,0,214,314_.jpg",NaN
71,Fair Game,"http://ia.media-imdb.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1._SY314_CR12,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/71.jpg
72,Kicking & Screaming,"http://ia.media-imdb.com/images/M/MV5BMTA5Njk1MjEzMzZeQTJeQWpwZ15BbWU3MDY3NjY4MjE@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/72.jpg
73,Les misérables,"http://ia.media-imdb.com/images/M/MV5BMTQ5Mzc5NDQ2Nl5BMl5BanBnXkFtZTcwNzUxNTIyMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/73.jpg
74,Bed of Roses,"http://ia.media-imdb.com/images/M/MV5BMjg4MzcxMzk3M15BMl5BanBnXkFtZTcwNzkzOTMyMQ@@._V1._SY314_CR9,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/74.jpg
75,Big Bully,"http://ia.media-imdb.com/images/M/MV5BMTM5OTk4OTA0MV5BMl5BanBnXkFtZTcwNjg1MjQyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/75.jpg
76,Screamers,"http://ia.media-imdb.com/images/M/MV5BMTY5NTQzMDkyMF5BMl5BanBnXkFtZTcwOTg1MTcyMQ@@._V1._SY314_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/76.jpg
77,Nico Icon,"http://ia.media-imdb.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/77.jpg
78,The Crossing Guard,"http://ia.media-imdb.com/images/M/MV5BMTQ4NDM4MTA0Nl5BMl5BanBnXkFtZTcwNzkxMjEyMQ@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/78.jpg
79,The Juror,"http://ia.media-imdb.com/images/M/MV5BMTgwOTc5MjYzNl5BMl5BanBnXkFtZTcwMjYzMTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/79.jpg
80,Badkonake sefid,http://ia.media-imdb.com/images/M/MV5BMTQ0MTAxMjMxOF5BMl5BanBnXkFtZTcwODU4NjEyMQ@@._V1._SX77_SY140_.jpg,../Resources/Data/Raw/MoviePosters/80.jpg
81,Things to Do in Denver When You're Dead,"http://ia.media-imdb.com/images/M/MV5BMTgxODc5NzYzNl5BMl5BanBnXkFtZTcwOTg0MjkxMQ@@._V1._SY314_CR8,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/81.jpg
82,Antonia,"http://ia.media-imdb.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/82.jpg
83,Once Upon a Time... When We Were Colored,"http://ia.media-imdb.com/images/M/MV5BMTI4NDk2MDcyNV5BMl5BanBnXkFtZTcwMTQxNTMyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/83.jpg
84,Last Summer in the Hamptons,"http://ia.media-imdb.com/images/M/MV5BMTY2OTM4MDI2OV5BMl5BanBnXkFtZTcwNTQxMTYxMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/84.jpg
85,Angels and Insects,"http://ia.media-imdb.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/85.jpg
86,White Squall,"http://ia.media-imdb.com/images/M/MV5BMTI5NjIzMTI5OV5BMl5BanBnXkFtZTcwMjY0MzAyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/86.jpg
87,Dunston Checks In,"http://ia.media-imdb.com/images/M/MV5BMTM2OTI4ODAxMl5BMl5BanBnXkFtZTcwODUzMzYyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/87.jpg
88,Black Sheep,"http://ia.media-imdb.com/images/M/MV5BNzcwMTA1MjEzMl5BMl5BanBnXkFtZTcwNzE0MzQ0MQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/88.jpg
89,Nick of Time,http://ia.media-imdb.com/images/M/MV5BMjEyMTk0ODYzM15BMl5BanBnXkFtZTYwNzQ4Mjg5._V1._SX150_SY220_.jpg,../Resources/Data/Raw/MoviePosters/89.jpg
90,The Journey of August King,"http://ia.media-imdb.com/images/M/MV5BMjA2MTMxMDQyMV5BMl5BanBnXkFtZTcwMDEzMzcyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/90.jpg
92,Mary Reilly,"http://ia.media-imdb.com/images/M/MV5BMTcxODgwNTM5MF5BMl5BanBnXkFtZTcwNTM0MjMyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/92.jpg
93,Vampire in Brooklyn,"http://ia.media-imdb.com/images/M/MV5BMTI1MTQ3NzE0MV5BMl5BanBnXkFtZTcwNDAwNzIyMQ@@._V1._SY314_CR3,0,214,314_.jpg",NaN
94,Beautiful Girls,"http://ia.media-imdb.com/images/M/MV5BMTI4NjU0NDM0NV5BMl5BanBnXkFtZTYwODU5MjY5._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/94.jpg
95,Broken Arrow,"http://ia.media-imdb.com/images/M/MV5BMjE0NjIwODI0Nl5BMl5BanBnXkFtZTcwMDM5MDYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/95.jpg
96,In the Bleak Midwinter,"http://ia.media-imdb.com/images/M/MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/96.jpg
97,La haine,"http://ia.media-imdb.com/images/M/MV5BMTc1ODkwNTI0OV5BMl5BanBnXkFtZTcwNDA2MjEyMQ@@._V1._SY314_CR5,0,214,314_.jpg",NaN
98,Going Shopping,"http://ia.media-imdb.com/images/M/MV5BMTc5MTQ3MzA0M15BMl5BanBnXkFtZTcwNzk4MDE0MQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/98.jpg
99,Heidi Fleiss: Hollywood Madam,"http://ia.media-imdb.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1._SY314_CR5,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/99.jpg
100,City Hall,"http://ia.media-imdb.com/images/M/MV5BMTQxNzEzMzQwN15BMl5BanBnXkFtZTcwOTk5MDYyMQ@@._V1._SY292_CR1,0,214,292_.jpg",NaN
101,Bottle Rocket,"http://ia.media-imdb.com/images/M/MV5BMTk1ODI3NzA2NV5BMl5BanBnXkFtZTcwNTI0MTEyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/101.jpg
102,Mr. Wrong,"http://ia.media-imdb.com/images/M/MV5BMTM0MTAxMjcyMl5BMl5BanBnXkFtZTcwMTIzMTEyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/102.jpg
103,Unforgettable,"http://ia.media-imdb.com/images/M/MV5BNDM1MDg5MzY4OV5BMl5BanBnXkFtZTcwMDM5NjgyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/103.jpg
104,Happy Gilmore,"http://ia.media-imdb.com/images/M/MV5BMjE1MzgxNjIyN15BMl5BanBnXkFtZTcwMjkzMjYyMQ@@._V1._SY314_CR6,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/104.jpg
105,The Bridges of Madison County,"http://ia.media-imdb.com/images/M/MV5BMTQ5NzcyODM1Ml5BMl5BanBnXkFtZTcwODQwMDQyMQ@@._V1._SY314_CR6,0,214,314_.jpg",NaN
106,Keiner liebt mich,"http://ia.media-imdb.com/images/M/MV5BMTM1NzQ2NjQ3Ml5BMl5BanBnXkFtZTcwNzg5NjYxMQ@@._V1._SY314_CR4,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/106.jpg
107,Muppet Treasure Island,"http://ia.media-imdb.com/images/M/MV5BMTY0NDU1MDYxMl5BMl5BanBnXkFtZTcwNjgyMTEzMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/107.jpg
110,Braveheart,"http://ia.media-imdb.com/images/M/MV5BMTY0ODA1MTYzNl5BMl5BanBnXkFtZTcwNDE1MjM3Mw@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/110.jpg
111,Taxi Driver,"http://ia.media-imdb.com/images/M/MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1._SY314_CR8,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/111.jpg
112,Hung fan kui,"http://ia.media-imdb.com/images/M/MV5BMjEzNTkzNTM1OF5BMl5BanBnXkFtZTcwMjgxMjMyMQ@@._V1._SY314_CR1,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/112.jpg
113,Before and After,"http://ia.media-imdb.com/images/M/MV5BMTgwODk4NDkzNF5BMl5BanBnXkFtZTcwMjA0MjUyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/113.jpg
114,Margaret's Museum,"http://ia.media-imdb.com/images/M/MV5BMTc3NjY0Mjk4MV5BMl5BanBnXkFtZTcwNTAzMzUyMQ@@._V1._SY314_CR3,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/114.jpg
115,Le bonheur est dans le pré,"http://ia.media-imdb.com/images/M/MV5BMTcxMzM5MDAxMF5BMl5BanBnXkFtZTcwNzUxNDMzMQ@@._V1._SY314_CR5,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/115.jpg
116,Anne Frank Remembered,"http://ia.media-imdb.com/images/M/MV5BNTMyOTkxMzA5N15BMl5BanBnXkFtZTcwNjU3MTUyMQ@@._V1._SY314_CR2,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/116.jpg
117,The Young Poisoner's Handbook,"http://ia.media-imdb.com/images/M/MV5BMTk4NzI4OTk4NF5BMl5BanBnXkFtZTYwMzU4Mjg5._V1._SY216_CR41,0,214,216_.jpg",../Resources/Data/Raw/MoviePosters/117.jpg
118,If Lucy Fell,"http://ia.media-imdb.com/images/M/MV5BMTIyNjYyMjIyMV5BMl5BanBnXkFtZTcwNzE4OTUxMQ@@._V1._SX214_CR0,0,214,314_.jpg",../Resources/Data/Raw/MoviePosters/118.jpg
